Name,PhD in which field,Bio,Specialization,Research
Bharani Kollipara,"PhD (English), The English and Foreign Languages University, Hyderabad","I write and teach in the areas of modern philosophy, political theory and South Asian Studies. I am interested in the phenomenological tradition and its wider ramifications in the 20th century as Hermeneutics et al, particularly with reference to phenomenology’s approach to questions in metaphysics. My general research focus is organized around questions pertaining, broadly speaking, to the ontology of tradition in view of its complicated relation to the notion history. Currently I am interested in unraveling the relations between Phenomenology and Hermeneutics. As a trained scholar in literature (Modernism), I bring to bear my literary training on closely reading canonical philosophical texts of the Western tradition. Students interested in working at the intersection between literature and philosophy are encouraged to contact me.","Modern Philosophy, Phenomenology and Hermeneutics, Literary Modernism",
Arpita Mal,"PhD (Mathematics), Jadavpur University, Kolkata","Dr. Arpita Mal is an assistant professor at DA-IICT since December 2023. Prior to joining DA-IICT, she was an INSPIRE Faculty Fellow at IISc Bangalore. She completed her PhD from Jadavpur University in 2021. Her research interest is broadly in Functional Analysis, Operator Theory and Linear Algebra. In particular, it includes Geometry of Banach space, Birkohff-James orthogonality, Numerical radius etc.",Dr. Arpita Mal was a teaching assistant for Analysis and Linear Algebra course-UG I in 2022 and 2023 at IISc Bangalore. She taught Abstract Algebra course-B.Tech in 2018 and Calculus course- B.Tech in 2017 at Jadavpur University.,"Mathematics, Functional Analysis, Geometry of Banach Space."
Arpit Rana,"PhD (Computer Science), University College Cork, Ireland","Dr. Arpit Rana did his Ph.D. from University College Cork, Ireland, in 2020. Before joining DA-IICT, He worked as a Postdoctoral Researcher at the Department of Industrial Engineering, University of Toronto (U of T), Canada.","Applied Machine Learning, Recommendation Systems, Multimodality, and their applications in Digital Innovation and Transformation",
Arnab Kumar Ray,"PhD (Physics), Jadavpur University, Kolkata","I hold a doctorate in astrophysical fluid dynamics. My research methods are theoretical in nature, with my present research interests being astrophysical accretion, fluid dynamics and nonlinear systems. I have publications in peer-reviewed journals of astrophysics, gravitation, nonlinear dynamics, condensed matter physics, nuclear physics, complex systems and geophysics. I also have research experience in the seismic processing industry. I have interest in designing curriculum and exploring new pedagogic approaches to aid the teaching-learning process.","Astrophysical Accretion, Fluid Dynamics, Nonlinear Systems",
Anupam Rana,"PhD (Design Management) - Retails Experience-CX, Indus University, Ahmedabad","Dr. Anupam Rana is an académicien with over 22 years of experience, including 20 years in design education. He holds a B.Tech. in Mechanical Engineering and a Ph.D. in Experience Design. He spent 17 years at NIFT Gandhinagar & Shillong, where he was a founding member of Accessory Design and Experience Design program. Dr. Rana’s expertise Spans, Product Design Human-Centric Design, Exhibition Design, and Multidisciplinary Research. He also serves as an expert consultant to the industry & govt. organisation, bringing practical insights to academic and professional design challenges.","Design Education, Experience Design, Multidisciplinary Research, UIUX, Design Thinking.",
Ankit Vijayvargiya,"PhD (Biomedical Signals), Malaviya National Institute of Technology, Jaipur","Dr. Ankit Vijayvargiya is currently serving as an Assistant Professor at DAU. He holds a Ph.D. in from Malaviya National Institute of Technology (MNIT), Jaipur, where his research focused on AI-enabled solutions for human health, particularly in biomedical signal processing and human activity recognition. He was awarded the prestigious NeuroInsight Marie Skłodowska-Curie Actions (MSCA) Postdoctoral Fellowship hosted at Dublin City University (DCU), Ireland, where he conducted advanced research on data-driven practices for robotic rehabilitation in individuals with incomplete spinal cord injuries. He has also gained valuable international exposure as a Visiting Researcher at Khalifa University, UAE. Dr. Vijayvargiya’s research interests include biomedical signal processing, machine learning, human robot interaction, wearable systems, and assistive healthcare technologies. He has authored more than 50 research publications, including peer-reviewed journal articles, conference proceedings, and book chapters. He has been the recipient of several research grants and awards, with funding support from the Department of Science and Technology, the Ministry of MSME, and the Institution of Engineers (India). He has delivered invited talks and expert lectures at various premier academic and research institutions. He is a reviewer for various scientific and engineering journals. He is a Senior Member of IEEE and an Associate Member of the Institution of Engineers (India).","Biomedical Signals, Machine Learning, Neural Rehabilitation, Gait Analysis",
Anish Mathuria,"PhD (Computer Science), University of Wollongong, Australia","Anish Mathuria is a Professor at DA-IICT. His research interests are in information security and cryptography. Anish is currently an Associate Editor for Sadhana, a journal published by Indian Academy of Sciences. He has served on the program committees of ICISS, Indocrypt, and SPACE conferences. Anish was an invited speaker at the CIMPA-UNESCO-INDIA School on Security for Computer Systems and Networks held in 2005. He has served on the committee for “e-Authentication standards” constituted by the Ministry of Communications and Information Technology. Anish has a Bachelor’s degree in Electronics from University of Bombay, and Master’s and PhD degrees in Computer Science from University of Wollongong, Australia. Prior to joining the faculty at DA-IICT, he was at IBM Tokyo Research Laboratory, and University of Massachusetts Dartmouth, USA","Network Security, Privacy-Preserving Computation, System and Software Security",
Anil Roy (On Leave),"PhD (Physics), IIT Delhi","I am a faculty of DA-IICT, Gandhinagar (India) and am an alumnus of IIT Delhi and IIT Roorkee. I obtained my PhD degree in Physics from IIT Delhi in 1993. Prior to joining DA-IICT in 2003, I worked at Centre for Theoretical Studies at Indian Institute of Science, Bangalore (India) during 1993-94 followed by the Optical Fiber Group at IIT Delhi (India) till 1996. My main academic interest areas are sensors, Internet of Things, image processing, fiber optics, semiconductor physics, applications of technologies for humanitarian challenges. I am a senior member of IEEE, a member of Optica (formerly Optical Society of America) and a member of Optical Society of India. After serving two terms as VP Technical Operations (2020-2023), I am currently the President-elect of IEEE Sensors Council (2024-2025). I was also the Chair of IEEE Conference Publications Committee (2019-2020). I have been the General co-Chair of many international conferences, such as: IEEE APSCON 2023, IEEE R10 HTC 2023, IEEE SENSORS 2018, INDICON 2009 and the Technical Program Committee co-Chair of IEEE APSCON 2025, IEEE APSCON 2024, IEEE International Symposium on Smart Electronic Systems (iSES 2023), INDICON 2019. Some of the notable awards which I won are: 2019 IEEE India Council Section Chair Lifetime Achievement Award, 2017 IEEE Sensors Council Meritorious Service Award, 2012 IEEE MGA Leadership Award and 2010 IEEE Region 10 Outstanding Volunteer Award.","Applications of Image Processing, Fiber Optics and Optical Communication, High speed Semiconductor Devices, Nanoscience and Nanotechnology, Quantum Optics, Technologies for Humanitarian Challenges.",
Amit Mankodi,"PhD, DA-IICT Gandhinagar",,"Embedded Systems, Computer Networks, High Performance Computing, Machine Learning",
Ajay Beniwal,"PhD (Electronics and Communication Engineering), IIIT Allahabad","Dr. Ajay Beniwal is currently serving as an Assistant Professor at Dhirubhai Ambani University (Formerly DA-IICT) - Gandhinagar, India. Prior to this, he worked as a Postdoctoral Research Fellow at University College London (UCL), UK and held the prestigious Marie Curie Postdoctoral Fellowship (UKRI funded) at the University of Glasgow, UK. He holds ongoing visiting and research affiliate positions at the UCL and University of Glasgow, respectively. He completed his PhD in Electronics and Communication Engineering from Indian Institute of Information Technology (IIIT) – Allahabad, India, where he was recognized with the Emerging Researcher Award. He has been awarded with University Gold Medal during his Master’s degree. Dr. Beniwal is also a recipient of DST INSPIRE Faculty Fellowship awarded by Ministry of Science & Technology, Government of India. His research interests include flexible and printed electronics, smart sensing technologies, sensor materials, sustainable and green electronics.","Flexible and Printable Electronics for Healthcare and Digital Agricultural Applications, Smart Sensing Technologies with Wireless Connectivity, Sensor Materials and Nanocomposites, Sustainable and Green Electronics.",
